index,name,date_of_birth,height,weight,spike,block,position_number,country
370,Sonia Beatriz Romero Espinosa,02/08/1997,183,70,301,288,1,31
371,Anet Alfonso Benitez,26/06/1996,172,54,225,222,4,31
372,Haiping Sun,23/05/1996,180,65,300,292,1,5
373,Mingyuan Hu,17/05/1996,187,69,305,297,3,5
374,Zixuan Meng,18/11/1996,180,62,298,290,6,5
375,Ye Jin,01/03/1996,187,77,310,302,2,5
376,Qingqing Du,18/12/1996,189,72,312,300,2,5
377,Qian Zhang,20/02/1997,193,70,313,302,3,5
378,Jiayi Huang,16/08/1996,173,60,285,275,6,5
379,Wanqianbai Rong,01/01/1997,184,75,304,297,1,5
380,Yuanyuan Wang,14/07/1997,195,75,312,300,3,5
381,Xiangyu Gong,21/04/1997,186,72,313,302,4,5
382,Xinyi Zhou,17/03/1997,187,69,307,300,2,5
383,Yi Yang,19/03/1997,184,70,308,300,4,5
384,Mayar Mohamed,05/02/2000,186,78,288,279,3,29
385,Mai Moustafa,01/10/1996,175,63,280,269,2,29
386,Salma Mahmoud,04/02/1999,175,56,278,266,2,29
387,Nourallah Amin,25/11/2000,184,70,285,276,3,29
388,Malak Badawy,17/06/1996,175,64,273,289,4,29
389,Mariam Ebrahim,13/03/1997,167,63,273,261,1,29
390,Rahma Almohandes,09/11/1996,175,63,277,265,2,29
391,Yasmin Hussein,11/01/1997,175,74,188,178,2,29
392,Hend Farag,29/09/1997,186,68,277,272,3,29
393,Icel Nadim,19/02/1996,162,52,253,267,6,29
394,Jailan Tawfik,12/06/1997,175,65,292,279,4,29
395,Rania Ashmawy,20/02/1996,174,67,273,264,1,29
396,Diana De La Peña,07/06/1999,187,60,294,295,3,30
397,Nair Canessa,04/06/1997,185,70,295,298,3,30
398,Nicole Abreu Erquinigo,27/03/1999,180,63,285,270,2,30
399,Cristina Cuba,04/06/1996,176,65,280,275,1,30
400,Shiamara Almeida,19/02/1996,172,62,286,275,1,30
401,Maguilaura Frias,28/05/1997,186,71,291,280,4,30
402,Katherine Regalado,11/03/1998,190,66,296,287,4,30
403,Rosa Valiente,26/06/1996,183,60,290,295,3,30
404,Angela Leyva,22/11/1996,184,70,312,291,2,30
405,Yomira Villacorta,11/01/1996,164,61,265,250,6,30
406,Dayana Rojas,09/10/1997,160,55,178,180,2,30
407,Coraima Gomez,09/08/1996,179,70,300,285,2,30
408,Ilaria Bonvicini,28/02/1997,160,52,261,243,2,15
409,Carlotta Cambi,28/05/1996,177,66,302,292,1,15
410,Sofia D'odorico,06/01/1997,187,78,312,302,2,15
411,Alessia Orro,18/07/1998,180,74,308,231,1,15
412,Sara Bonifacio,03/07/1996,188,76,320,300,3,15
413,Anna Danesi,20/04/1996,195,75,312,246,3,15
414,Anastasia Guerra,15/10/1996,187,80,314,239,2,15
415,Chiara De Bortoli,28/07/1997,180,68,302,286,6,15
416,Paola Ogechi Egonu,18/12/1998,190,70,336,256,4,15
417,Beatrice Berti,12/01/1996,193,87,304,288,3,15
418,Anna Nicoletti,03/01/1996,193,86,306,290,4,15
419,Elisa Zanette,17/02/1996,193,86,304,288,4,15
420,Melis Yilmaz,28/06/1997,165,52,260,259,6,26
421,Cansu Ozbay,17/10/1996,182,75,285,284,1,26
422,Ayca Aykac,27/02/1996,176,54,280,279,6,26
423,Rida Erlalelitepe,22/07/1996,183,70,293,290,2,26
424,Ada Germen,24/06/1997,182,62,285,283,2,26
425,Zehra Gunes,07/07/1999,194,82,309,255,3,26
426,Humay Topaloglu,03/08/1996,180,63,295,293,2,26
427,Yagmur Mislina Kilic,30/03/1996,189,66,283,280,2,26
428,Cemre Janset Erkul,12/01/1997,184,65,298,295,3,26
429,Arelya Karasoy,14/12/1996,181,73,287,280,1,26
